Пропуск,Слово,Семантическое поле ,Количество,агрегация ,
22,обернулись,глаголы изменения качества состояния объекта,2,,
22,ушли,глаголы движения,2,,
22,повернулись,глаголы изменения качества состояния объекта,1,,
22,начали,глаголы начала состояния,1,,
22,побежали,глаголы начала состояния,1,,
22,стали,глаголы начала состояния,1,,
22,ахнули,глаголы речевой деятельности,1,,
22,отвернулись,глаголы изменения качества состояния объекта,1,,
22,остановился,глаголы прекращения состояния,1,,
22,встрепенулись,глаголы изменения качества состояния объекта,1,,
22,настиг,глаголы прекращения состояния,1,,
22,успокоились,глаголы изменения качества состояния объекта,1,,
22,дежурный,человек,1,,
22,трогается,глаголы начала состояния,1,,
22,ответили,глаголы речевой деятельности,1,,
22,начали движение,глаголы начала состояния,1,,
22,шли ,глаголы движения,1,,
22,партии,наименование групп лиц,1,,
23,вылетела,глаголы однонаправленного движения,6,,
23,вышла,глаголы однонаправленного движения,6,,
23,ворвалась,глаголы однонаправленного движения,4,,
23,выехала,глаголы однонаправленного движения,3,,
23,бежала,глаголы движения,3,,
23,выходила,глаголы однонаправленного движения,2,,
23,повернула ,глаголы движения,2,,
23,проникла,глаголы однонаправленного движения,1,,
23,поспешила,глаголы движения,1,,
23,проскакала,глаголы движения,1,,
23,двинулась,глаголы однонаправленного движения,1,,
23,въехал,глаголы однонаправленного движения,1,,
23,забежала,глаголы проникновения,1,,
23,выехал,глаголы однонаправленного движения,1,,
23,рванулась,глаголы однонаправленного движения,1,,
23,выехав,глаголы однонаправленного движения,1,,
23,вылетала,глаголы однонаправленного движения,1,,
23,зашла,глаголы проникновения,1,,
23,собралась,глаголы однонаправленного движения,1,,
23,вбегала,глаголы проникновения,1,,
23,спешила,глаголы однонаправленного движения,1,,
23,кружила,глаголы движения,1,,
23,ринулась,глаголы однонаправленного движения,1,,
23,выбежала,глаголы однонаправленного движения,1,,
23,прибежали,глаголы проникновения,1,,
23,в перед,направление,1,,
23,влетела,глаголы однонаправленного движения,1,,
23,ведущая,человек,1,,
24,каменной,материал,12,,
24,крепостной,место в пространстве,6,,
24,городской,место в пространстве,4,,
24,высокой,внешняя характеристика предмета,4,,
24,западной,место в пространстве,1,,
24,дворцовой,место в пространстве,1,,
24,внешней,место в пространстве,1,,
24,нависавшей,внешняя характеристика предмета,1,,
24,старой,состояние предмета,1,,
24,большой,внешняя характеристика предмета,1,,
24,левой,место в пространстве,1,,
24,навесной,внешняя характеристика предмета,1,,
24,кирпичной,материал,1,,
24,низенькой,внешняя характеристика предмета,1,,
24,бетонной,материал,1,,
24,низкой,внешняя характеристика предмета,1,,
24,белой,цвет,1,,
24,рухнувшей ,состояние предмета,1,, 
25,виноград,растение,7,,
25,туман,газообразное,7,,
25,дым,газообразное,4,,
25,путь,"объект в пространстве, имеющий направление",3,,
25,плющ,растение,2,,
25,вьюн,растение,1,,
25,мох,растение,1,,
25,арык,растение,1,,
25,след,след?,1,,
25,штандарт,-,1,,
25,один,число,1,,
25,уже засохший от жары вьюн,растение,1,,
25,овраг,место в пространстве,1,,
25,караван,наименование группы людей,1,,
25,стланик,растение,1,,
25,шлейф,газообразное,1,,
25,свет,свет,1,,
26,дорогой,"объект в пространстве, имеющий направление",31,,
26,путь,"объект в пространстве, имеющий направление",3,,
26,возожности,возможность,1,,
26,возможностью,возможность,1,,
26,дороге,"объект в пространстве, имеющий направление",1,,
26,виноград,растение,1,,
26,бегом,манера передвижения,1,,
27,мальчик,человек,5,,
27,мышь,животное,4,,
27,ребенок,человек,4,,
27,осел,животное,3,,
27,подросток,человек,2,,
27,котенок,животное,2,,
27,ягода,растение,1,,
27,кот,животное,1,,
27,шакал,животное,1,,
27,жук,животное,1,,
27,мошка,животное,1,,
27,муравей,животное,1,,
27,дым,газообразное,1,,
27,мышонок,животное,1,,
27,маленький,качество объекта по размеру,1,,
27,обезьяна,животное,1,,
27,звереныш,животное,1,,
27,ворон,животное,1,,
27,гном,сверхъестественное существо,1,,
27,ночь,время,1,,
28,командир,военный,9,,
28,всадник,военный,2,,
28,кавалерийской,относящийся к войне,2,,
28,молодой,возраст,2,,
28,наездник,военный,1,,
28,несущий,глаголы воздействия на объект,1,,
28,член,человек,1,,
28,кавалерийского,относящийся к войне,1,,
28,предводитель,военный,1,,
28,воин,военный,1,,
28,кавалериец,военный,1,,
28,сияет,глаголы качественного состояния,1,,
28,кавалерииц,военный,1,,
28,темнокожий,внешняя характеристика человека,1,,
28,члены кавалерийской,наименование групп лиц,1,,
28,преследователь,человек,1,,
28,там,место в пространстве,1,,
28,розы,растение,1,,
28,каваллерийской,относящийся к войне,1,,
28,чурный,-,1,,
29,выхватил,Глаголы воздействия на объект,16,,
29,вынул,Глаголы воздействия на объект,11,,
29,вытащил,Глаголы воздействия на объект,8,,
29,достал,Глаголы воздействия на объект,6,,
29,высунул,Глаголы воздействия на объект,2,,
29,вынцл,Глаголы воздействия на объект,1,,
29,выташтл,Глаголы воздействия на объект,1,,
29,взвигнул,глаголы звучания,1,,
30,взмокшая,физическое состояние,6,,
30,массивная,качество объекта по размеру,2,,
30,черная,цвет,2,,
30,быстрая,качество объекта по скорости,2,,
30,сталь сверкнула,-,1,,
30,села на,глаголы воздействия на объект,1,,
30,налетела на,глаголы воздействия на объект,1,,
30,его,принадлежность,1,,
30,испугала,глаголы эмоционального воздействия,1,,
30,белогривая,характеристика животного,1,,
30,разъеренная,эмоциональное состояние,1,,
30,боевая,характеристика животного,1,,
30,резвая,качество объекта по скорости,1,,
30,усталая,физическое состояние,1,,
30,запряженная,характеристика животного,1,,
30,породистая,характеристика животного,1,,
30,бедная,физическое состояние,1,,
30,царская,характеристика животного,1,,
30,гордая,характер ,1,,
30,летела на,глаголы воздействия на объект,1,,
30,боевыя,характеристика животного,1,,
30,гончая,характеристика животного,1,,
30,дикая,характер,1,,
31,шарахнулась,глаголы движения,6,,
31,заржала,глаголы звучания,5,,
31,которая,-,3,,
31,остановилась,глаголы прекращения движения,2,,
31,взвилась,глаголы движения,2,,
31,испугалась,глаголы эмоционального состояния,2,,
31,тотчас,время,1,,
31,резкь,степень изменения действия,1,,
31,пилата,человек,1,,
31,вздрогнула,глаголы движения,1,,
31,мгновенно,время,1,,
31,фыркая,глаголы звучания,1,,
31,резко,степень изменения действия,1,,
31,громко заржала,глаголы звучания,1,,
31,остановясь,глаголы прекращения движения,1,,
31,выгнулась,глаголы движения,1,,
31,очнулась,глаголы изменения состояния,1,,
31,внезапно,степень изменения действия,1,,
31,подумала,глаголы мыслительной деятельности,1,,
31,заржав,глаголы звучания,1,,
31,сирийца,человек,1,,
31,мустанг,животное,1,,
32,командир,человек,7,,
32,сириец,человек,12,,
32,он,человек,11,,
32,всадник,человек,5,,
32,мулат,человек,2,,
32,паренек,человек,1,,
32,пилат ,человек,1,,
32,плетью,оружие,1,,
32,воин,человек,1,,
32,вдруг,время,1,,
32,запрыгнул на лошадь и,глаголы воздействия на объект,1,,
