1
Слово;Тип;Тип;Тип;Итог;Пропуск;Верно
всадник;global;local;global;global;28;0
кавалерийской;global;dep;global;global;28;0
молодой;local;local;local;Local;28;0
наездник;local;local;global;Local;28;0
несущий;local;dep;local;Local;28;0
член;local;dep;local;Local;28;0
кавалерийского;local;dep;global;global;28;0
предводитель;local;global;local;Local;28;0
воин;local;local;global;Local;28;0
кавалериец;global;global;global;global;28;0
сияет;local;dep;local;Local;28;0
кавалерииц;global;dep;global;global;28;0
темнокожий;local;dep;local;Local;28;0
кавалерийской;global;dep;global;global;28;0
преследователь;local;dep;local;Local;28;0
там;local;dep;none;Local;28;0
розы;local;dep;local;Local;28;0
каваллерийской;global;dep;global;global;28;0
чурный;local;global;dep;Local;28;0
выхватил;local;local;local;Local;29;1
вынул;local;local;local;Local;29;0
вытащил;local;local;local;Local;29;0
достал;local;local;local;Local;29;0
высунул;local;local;local;Local;29;0
вынцл;local;dep;local;Local;29;0
выташтл;local;dep;local;Local;29;0
взвизгнул;local;dep;local;Local;29;0
взмокшая;local;global;local;Local;30;1
массивная;local;local;local;Local;30;0
чёрная;local;local;local;Local;30;0
быстрая;local;local;local;Local;30;0
сверкнула;local;dep;local;Local;30;0
на;local;dep;local;Local;30;0
на;local;dep;local;Local;30;0
его;local;dep;local;Local;30;0
испугала;local;dep;local;Local;30;0
молодая;local;local;local;Local;30;0
белогривая;local;global;local;Local;30;0
разъеренная;local;local;local;Local;30;0
боевая;global;local;local;Local;30;0
резвая;local;local;local;Local;30;0
усталая;local;local;local;Local;30;0
запряженная;local;local;local;Local;30;0
породистая;local;local;local;Local;30;0
бедная;local;local;local;Local;30;0
царская;global;dep;local;Dep;30;0
гордая;local;local;local;Local;30;0
на;local;dep;local;Local;30;0
боевыя;global;dep;local;Local;30;0
гончая;local;dep;local;Local;30;0
дикая;local;dep;local;Local;30;0
шарахнулась;local;local;local;Local;31;1
заржала;local;local;local;Local;31;0
которая;local;dep;local;Local;31;0
остановилась;local;local;local;Local;31;0
взвилась;local;local;local;Local;31;0
испугалась;local;local;local;Local;31;0
тотчас;local;local;local;Local;31;0
резкь;local;dep;local;Local;31;0
пилата;global;global;global;global;31;0
вздрогнула;local;local;local;Local;31;0
мгновенно;local;local;local;Local;31;0
фыркая;local;local;local;Local;31;0
резко;local;local;local;Local;31;0
заржала;local;local;local;Local;31;0
остановясь;local;dep;local;Local;31;0
выгнулась;local;local;local;Local;31;0
очнулась;local;dep;local;Local;31;0
внезапно;local;local;local;Local;31;0
подумала;local;dep;local;Local;31;0
заржав;local;local;local;Local;31;0
сирийца;global;global;global;global;31;0
мустанг;local;dep;local;Local;31;0
сириец;global;global;global;global;32;0
он;local;local;none;Local;32;0
командир;global;global;local;global;32;1
всадник;global;local;global;global;32;0
мулат;local;local;global;global;32;0
паренек;local;local;local;Local;32;0
пилат;global;global;global;global;32;0
плетью;local;dep;local;Local;32;0
воин;global;local;global;global;32;0
